CATEGORIA,PRODUCTOS,PORCIONES,DECORACION,PRECIO,PERSONALIZABLE,OBSERVACIÓN
Volcanes,Volcán de Red velvet 1/4 de libra Red Velvet,10-12,,95000,NO,
Volcanes,Volcán 1/2 libra Red Velvet,20,,130500,NO,
Brownie,Brownie Milo,Personal,,10500,NO,
Brownie,Brownie Milo,4-6,,45000,NO,
Brownie,Brownie Milo,12,,90000,NO,
Brownie,Brownie Milo,20,,125000,NO,
Línea Saludable Sin Azucar y Sin Gluten,Torta Saludable Personal Chocoavellanas,Personal,,23500,NO,Chocolate con ganache de chocolate y avellanas tostadas
Línea Saludable Sin Azucar y Sin Gluten,Torta Saludable 1/8 de libra Chocoavellanas,6,,78000,NO,Chocolate con ganache de chocolate y avellanas tostadas
Línea Saludable Sin Azucar y Sin Gluten,Torta Saludable ¼ de libra Chocoavellanas,10-12,,120500,NO,Chocolate con ganache de chocolate y avellanas tostadas
Línea Saludable Sin Azucar y Sin Gluten,Torta Saludable ½ libra Chocoavellanas,20,,175000,NO,Chocolate con ganache de chocolate y avellanas tostadas
Línea Saludable Sin Azucar y Sin Gluten,Torta Saludable personal de Banano Fit,personal,,22500,NO,
Línea Saludable Sin Azucar y Sin Gluten,Torta Saludable 1/8 de libra Banano Fit,6,,70500,NO,Banano con nueces y arequipe sin azúcar
Línea Saludable Sin Azucar y Sin Gluten,Torta Saludable ¼ de libra Banano Fit,10-12,,112500,NO,Banano con nueces y arequipe sin azúcar
Línea Saludable Sin Azucar y Sin Gluten,Torta Saludable ½ libra Banano Fit,20,,173200,NO,Banano con nueces y arequipe sin azúcar
Línea Saludable Sin Azucar y Sin Gluten,Torta Saludable Personal Banano bebé,Personal,,22500,NO,"Torta para bebés, sin azúcar añadida, sin gluten, y sin nueces (opcional con o sin panela)."
Línea Saludable Sin Azucar y Sin Gluten,Torta Saludable 1/8 de libra Banano bebé,6,,65000,NO,"Torta para bebés, sin azúcar añadida, sin gluten, y sin nueces (opcional con o sin panela)."
Línea Saludable Sin Azucar y Sin Gluten,Torta Saludable ¼ de libra Banano bebé,10-12,,95000,NO,"Torta para bebés, sin azúcar añadida, sin gluten, y sin nueces (opcional con o sin panela)."
Línea Saludable Sin Azucar y Sin Gluten,Torta Saludable ¼ de libra de 3 Pisos Banano bebé,15,,120000,NO,"Torta para bebés, sin azúcar añadida, sin gluten, y sin nueces (opcional con o sin panela)."
Línea Saludable Sin Azucar y Sin Gluten,Torta Saludable ½ libra Banano bebé,20,,160000,NO,"Torta para bebés, sin azúcar añadida, sin gluten, y sin nueces (opcional con o sin panela)."
Productos de Mesa para Postres,Bites Red Velvet,1,,3700,NO,Mayor o igual a 10 Unidades
Productos de Mesa para Postres,Bites Zanahoria,1,,3700,NO,Mayor o igual a 10 Unidades
Productos de Mesa para Postres,Bites Brownie de Milo con Arequipe,1,,3500,NO,Mayor o igual a 10 Unidades
Productos de Mesa para Postres,Bites Brownie de Milo con Ganache,1,,3600,NO,Mayor o igual a 10 Unidades
Productos de Mesa para Postres,Bites Alfajores gota,1,,2600,NO,Mayor o igual a 10 Unidades
Productos de Mesa para Postres,Bites Chesecacke de Fresa,1,,3500,NO,Mayor o igual a 10 Unidades
Productos de Mesa para Postres,Postres cremosos Limón,1,,4600,NO,Mayor o igual a 10 Unidades
Productos de Mesa para Postres,Postres cremosos Milo,1,,4600,NO,Mayor o igual a 10 Unidades
Productos de Mesa para Postres,Postres cremosos Oreo,1,,4600,NO,Mayor o igual a 10 Unidades
Productos de Mesa para Postres,Postres cremosos Arequipe,1,,4600,NO,Mayor o igual a 10 Unidades
Productos de Mesa para Postres,Postres cremosos Maracuyá,1,,4600,NO,Mayor o igual a 10 Unidades
Productos de Mesa para Postres,Postres cremosos Alfajor,1,,4600,NO,Mayor o igual a 10 Unidades
Productos de Mesa para Postres,Postres cremosos Pannacota de Agraz,1,,4900,NO,Mayor o igual a 10 Unidades
Productos de Mesa para Postres,Postres cremosos Shot de Tiramisú,1,,4900,NO,Mayor o igual a 10 Unidades
4 Leches,4 Leches Tradicional Tradicional,Personal,,14500,NO,
4 Leches,4 Leches Tradicional Tradicional,4-6,,42000,NO,
4 Leches,4 Leches Tradicional Tradicional,8-10,,68500,NO,
4 Leches,4 Leches Nutella Nutella,Personal,,14500,NO,
4 Leches,4 Leches Nutella Nutella,4-6,,54000,NO,
4 Leches,4 Leches Nutella Nutella,8-10,,76000,NO,
Nubes,Nube de Arequipe Tradicional Arequipe,Personal,,17500,NO,
Nubes,Nube de Arequipe Tradicional Arequipe,4-6,,54000,NO,
Nubes,Nube de Arequipe Tradicional Arequipe,8-10,,76000,NO,
Nubes,"Nube Keto (sin azúcar, sin gluten) Keto",Personal,,17000,NO,
Nubes,"Nube Keto (sin azúcar, sin gluten) Keto",4-6,,55000,NO,
Nubes,"Nube Keto (sin azúcar, sin gluten) Keto",8-10,,69500,NO,
Pan de Banano,Pan de Banano Banano,Personal,,8500,NO,
Pan de Banano,Pan de Banano Banano,10-12,,58000,NO,"Sin azúcar, sin gluten, sin lácteos"
Cuchareables,Cuchareable de Banano,Personal,,18500,NO,
Cuchareables,Cuchareable Tradicional,Personal,,18500,NO,
Cuchareables,Cuchareable Keto,Personal,,23500,NO,
Cuchareables,Cuchareable limon,Personal,,18500,NO,
Cuchareables,Cuchareable Nutella,Personal,,19500,NO,
Cuchareables,Cuchareable Dulce de Cortado,Personal,,18500,NO,
Cuchareables,Cuchareable Tiramisu,Personal,,18500,NO,
Cuchareables,Cuchareable 4 leches,Personal,,18500,NO,
Funny Cakes,Funny Cakes Red Velvet 1/8 de Libra,6,"Tortas con diseño sencillo, texto y meme personalizable",70500,SI,
Funny Cakes,Funny Cakes Red Velvet 1/4 de Libra,12,"Tortas con diseño sencillo, texto y meme personalizable",95000,SI,
Funny Cakes,Funny Cakes Red Velvet 1/2 de Libra,20,"Tortas con diseño sencillo, texto y meme personalizable",137500,SI,
Funny Cakes,Funny Cakes Red Velvet  Libra,30,"Tortas con diseño sencillo, texto y meme personalizable",162500,SI,
Funny Cakes,Funny Cakes Zanahoria 1/8 de Libra,6,"Tortas con diseño sencillo, texto y meme personalizable",70500,SI,
Funny Cakes,Funny Cakes Zanahoria 1/4 de Libra,12,"Tortas con diseño sencillo, texto y meme personalizable",95000,SI,
Funny Cakes,Funny Cakes Zanahoria 1/2 de Libra,20,"Tortas con diseño sencillo, texto y meme personalizable",137500,SI,
Funny Cakes,Funny Cakes Zanahoria de Libra,30,"Tortas con diseño sencillo, texto y meme personalizable",162500,SI,
Funny Cakes,Funny Cakes Chocolate 1/8 de Libra,6,"Tortas con diseño sencillo, texto y meme personalizable",70500,SI,
Funny Cakes,Funny Cakes Chocolate 1/4 de Libra,12,"Tortas con diseño sencillo, texto y meme personalizable",95500,SI,
Funny Cakes,Funny Cakes Chocolate 1/2 de Libra,20,"Tortas con diseño sencillo, texto y meme personalizable",137500,SI,
Funny Cakes,Funny Cakes Chocolate  Libra,30,"Tortas con diseño sencillo, texto y meme personalizable",165500,SI,
Funny Cakes,Funny Cakes Naranja 1/8 de Libra,6,"Tortas con diseño sencillo, texto y meme personalizable",72500,SI,
Funny Cakes,Funny Cakes Naranja 1/4 de Libra,15,"Tortas con diseño sencillo, texto y meme personalizable",120500,SI,
Funny Cakes,Funny Cakes Naranja 1/2 de Libra,20-30,"Tortas con diseño sencillo, texto y meme personalizable",158000,SI,
Funny Cakes,Funny Cakes Limón 1/8 de Libra,6,"Tortas con diseño sencillo, texto y meme personalizable",72500,SI,
Funny Cakes,Funny Cakes Limón 1/4 de Libra,15,"Tortas con diseño sencillo, texto y meme personalizable",120500,SI,
Funny Cakes,Funny Cakes Limón 1/2 de Libra,20-30,"Tortas con diseño sencillo, texto y meme personalizable",158500,SI,
Funny Cakes,Funny Cakes Banano 1/8 de Libra,6,"Tortas con diseño sencillo, texto y meme personalizable",70500,SI,
Funny Cakes,Funny Cakes Banano 1/4 de Libra,12,"Tortas con diseño sencillo, texto y meme personalizable",90500,SI,
Funny Cakes,Funny Cakes Banano 1/2 de Libra,20,"Tortas con diseño sencillo, texto y meme personalizable",137500,SI,
Funny Cakes,Funny Cakes Chocoavellandas 1/8 de Libra,6,"Tortas con diseño sencillo, texto y meme personalizable",93000,SI,
Funny Cakes,Funny Cakes Chocoavellandas 1/4 de Libra,12,"Tortas con diseño sencillo, texto y meme personalizable",125000,SI,
Funny Cakes,Funny Cakes Chocoavellandas 1/2 de Libra,20,"Tortas con diseño sencillo, texto y meme personalizable",185000,SI,
Funny Cakes,Funny Cakes Banano Fit 1/8 de Libra,6,"Tortas con diseño sencillo, texto y meme personalizable",93000,SI,
Funny Cakes,Funny Cakes Banano Fit 1/4 de Libra,12,"Tortas con diseño sencillo, texto y meme personalizable",130000,SI,
Funny Cakes,Funny Cakes Banano Fit 1/2 de Libra,20,"Tortas con diseño sencillo, texto y meme personalizable",185000,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de banano,6,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",75500,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de banano,10,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",108000,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de banano,20,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",157500,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de chocolate,6,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",77500,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de chocolate,10,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",107500,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de chocolate,20,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",160500,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de Red Velvet,6,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",75500,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de Red Velvet,10,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",105500,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de Red Velvet,20,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",152500,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de Zanahoria,6,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",75500,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de Zanahoria,10,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",105500,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de Zanahoria,20,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",152500,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de Limón,6,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",77500,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de Limón,15,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",130000,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de Limón,25,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",168500,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de Naranja,6,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",77500,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de Naranja,15,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",130000,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de Naranja,25,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",168500,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de 4 Leches Tradicional,4-6,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",58000,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de 4 Leches Tradicional,8-10,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",85000,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de Nutella,4-6,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",69000,SI,
Funny Cakes Coloridas,Funny Cakes Coloridas de Nutella,8-10,"Tortas Con Meme, Sprinkles Y Varios Colores De Crema",91000,SI,
